doc_id,empty,short,high_nonascii,high_digits,high_noise,very_long_line
124037493.txt,False,False,False,False,False,True
145607132.txt,False,False,False,False,False,True
25364406.txt,False,False,False,False,False,True
45978339.txt,False,False,False,False,False,True
125024086.txt,False,False,False,False,False,True
25377781.txt,False,False,False,False,False,True
127959085.txt,False,False,False,False,False,True
158664073.txt,False,False,False,False,False,True
9838726.txt,False,False,False,False,False,True
149679328.txt,False,False,False,False,False,True
128600994.txt,False,False,False,False,False,True
132710802.txt,False,False,False,False,False,True
74235491.txt,False,False,False,False,False,False
126655495.txt,False,False,False,False,False,True
275259297.txt,False,False,False,False,False,True
86532122.txt,False,False,False,False,False,False
139626375.txt,False,False,False,False,False,True
86584055.txt,False,False,False,False,False,False
81300259.txt,False,False,False,False,False,True
160932831.txt,False,False,False,False,False,True
204972.txt,False,False,False,False,False,True
154852092.txt,False,False,False,False,False,True
82299896.txt,False,False,False,False,False,False
148766145.txt,False,False,False,False,False,True
164475993.txt,False,False,False,False,False,True
25939393.txt,False,False,False,False,False,False
170271126.txt,False,False,False,False,False,True
126576037.txt,False,False,False,False,False,False
113602580.txt,False,False,False,False,False,False
151055539.txt,False,False,False,False,False,True
149167913.txt,False,False,False,False,False,True
155610845.txt,False,False,False,False,False,True
158149681.txt,False,False,False,False,False,True
86755347.txt,False,False,False,False,False,True
238614843.txt,False,False,False,False,False,True
157899892.txt,False,False,False,False,False,True
68237640.txt,False,False,False,False,False,False
192205755.txt,False,False,False,False,False,True
157900199.txt,False,False,False,False,False,True
268496484.txt,False,False,False,False,False,True
41057178.txt,False,False,False,False,False,True
136995893.txt,False,False,False,False,False,True
171126595.txt,False,False,False,False,False,True
174676931.txt,False,False,False,False,False,True
70255173.txt,False,False,False,False,False,False
7684625.txt,False,False,False,False,False,True
161755291.txt,False,False,False,False,False,True
70560748.txt,False,False,False,False,False,False
166768060.txt,False,False,False,False,False,True
205771.txt,False,False,False,False,False,True
79649246.txt,False,False,False,False,False,False
138830424.txt,False,False,False,False,False,True
67803191.txt,False,False,False,False,False,True
84108912.txt,False,False,False,False,False,False
63540479.txt,False,False,False,False,False,False
17797409.txt,False,False,False,False,False,True
69132225.txt,False,False,False,False,False,True
125954931.txt,False,False,False,False,False,True
96738241.txt,False,False,False,False,False,False
150561054.txt,False,False,False,False,False,True
135469696.txt,False,False,False,False,False,True
47151536.txt,False,False,False,False,False,True
69561400.txt,False,False,False,False,False,False
74111576.txt,False,False,False,False,False,False
129533973.txt,False,False,False,False,False,True
150417511.txt,False,False,False,False,False,True
127050046.txt,False,False,False,False,False,True
79385742.txt,False,False,False,False,False,False
195413.txt,False,False,False,False,False,True
25401429.txt,False,False,False,False,False,True
159430097.txt,False,False,False,False,False,True
163017656.txt,False,False,False,False,False,True
148391060.txt,False,False,False,False,False,True
170623715.txt,False,False,False,False,False,True
96738748.txt,False,False,False,False,False,False
153515858.txt,False,False,False,False,False,True
152360394.txt,False,False,False,False,False,True
131435442.txt,False,False,False,False,False,True
18840170.txt,False,False,False,False,False,True
154783152.txt,False,False,False,False,False,True
125959439.txt,False,False,False,False,False,True
10693960.txt,False,False,False,False,False,False
45214516.txt,False,False,False,False,False,True
172847635.txt,False,False,False,False,False,True
70849206.txt,False,False,False,False,False,False
141163098.txt,False,False,False,False,False,True
141961478.txt,False,False,False,False,False,True
192222369.txt,False,False,False,False,False,False
14224742.txt,False,False,False,False,False,True
156090571.txt,False,False,False,False,False,True
136915470.txt,False,False,False,False,False,True
79386970.txt,False,False,False,False,False,False
148967016.txt,False,False,False,False,False,True
107376980.txt,False,False,False,False,False,False
2944091.txt,False,False,False,False,False,True
120345869.txt,False,False,False,False,False,True
166009013.txt,False,False,False,False,False,True
81760360.txt,False,False,False,False,False,False
158893519.txt,False,False,False,False,False,True
162895141.txt,False,False,False,False,False,True
