doc_id,empty,short,high_nonascii,high_digits,high_noise,very_long_line_raw,very_long_line_norm
85372142.txt,False,False,False,False,False,False,False
18394413.txt,False,False,False,False,False,False,False
129073580.txt,False,False,False,False,False,False,False
11643456.txt,False,False,False,False,False,True,False
84110868.txt,False,False,False,False,False,False,False
132676874.txt,False,False,False,False,False,True,False
91261054.txt,False,False,False,False,False,False,False
153515742.txt,False,False,False,False,False,True,False
163106577.txt,False,False,False,False,False,True,False
125991783.txt,False,False,False,False,False,True,False
14132261.txt,False,False,False,False,False,True,False
39818723.txt,False,False,False,False,False,True,False
46028623.txt,False,False,False,False,False,True,False
148755250.txt,False,False,False,False,False,True,False
74559372.txt,False,False,False,False,False,False,False
120351498.txt,False,False,False,False,False,True,True
163002399.txt,False,False,False,False,False,True,False
145358899.txt,False,False,False,False,False,True,False
7597597.txt,False,False,False,False,False,True,False
133082162.txt,False,False,False,False,False,True,False
133576174.txt,False,False,False,False,False,True,True
64625825.txt,False,False,False,False,False,True,False
46771462.txt,False,False,False,False,False,True,False
128831023.txt,False,False,False,False,False,True,False
85697402.txt,False,False,False,False,False,False,False
24333609.txt,False,False,False,False,False,False,False
54460932.txt,False,False,False,False,False,True,False
98900524.txt,False,False,False,False,False,False,False
158026548.txt,False,False,False,False,False,True,False
149992268.txt,False,False,False,False,False,True,False
162678266.txt,False,False,False,False,False,True,False
7764420.txt,False,False,False,False,False,True,False
86578241.txt,False,False,False,False,False,False,True
69418703.txt,False,False,False,False,False,True,False
70708081.txt,False,False,False,False,False,True,False
46391639.txt,False,False,False,False,False,True,False
158096976.txt,False,False,False,False,False,True,False
41006800.txt,False,False,False,False,False,True,False
39922486.txt,False,False,False,False,False,True,False
11747991.txt,False,False,False,False,False,True,False
148295791.txt,False,False,False,False,False,True,False
87534252.txt,False,False,False,False,False,False,False
51441964.txt,False,False,False,False,False,False,False
148775311.txt,False,False,False,False,False,True,False
7690223.txt,False,False,False,False,False,True,False
154799303.txt,False,False,False,False,False,True,False
112795623.txt,False,False,False,False,False,False,False
158666109.txt,False,False,False,False,False,True,True
268649559.txt,False,False,False,False,False,True,False
11453027.txt,False,False,False,False,False,True,False
46564530.txt,False,False,False,False,False,True,False
143313699.txt,False,False,False,False,False,True,False
14164525.txt,False,False,False,False,False,True,False
85269847.txt,False,False,False,False,False,False,False
112982580.txt,False,False,True,False,False,False,False
159080168.txt,False,False,False,False,False,True,False
192276516.txt,False,False,False,False,False,True,False
82291087.txt,False,False,False,False,False,False,False
90817633.txt,False,False,False,False,False,False,True
79369719.txt,False,False,False,False,False,False,False
76349773.txt,False,False,False,False,False,False,False
37046148.txt,False,False,False,False,False,True,False
41057596.txt,False,False,False,False,False,True,False
46392067.txt,False,False,False,False,False,True,False
276273445.txt,False,False,False,False,False,True,False
108647181.txt,False,False,False,False,False,False,False
108118236.txt,False,False,False,False,False,False,False
131635430.txt,False,False,False,False,False,True,False
157831839.txt,False,False,False,False,False,True,False
39372055.txt,False,False,False,False,False,True,False
98637408.txt,False,False,False,False,False,False,False
157498325.txt,False,False,False,False,False,True,True
13934758.txt,False,False,False,False,False,True,True
11050276.txt,False,False,False,False,False,True,False
46406635.txt,False,False,False,False,False,True,False
129258041.txt,False,False,False,False,False,True,False
61106076.txt,False,False,False,False,False,True,False
70418648.txt,False,False,False,False,False,False,False
11733066.txt,False,False,False,False,False,True,False
172065429.txt,False,False,False,False,False,True,False
218559192.txt,False,False,False,False,False,True,True
112785792.txt,False,False,False,False,False,False,False
202132.txt,False,False,False,False,False,True,True
14217389.txt,False,False,False,False,False,True,False
71058448.txt,False,False,False,False,False,True,False
96739562.txt,False,False,False,False,False,False,False
157895009.txt,False,False,False,False,False,True,False
108414513.txt,False,False,False,False,False,False,True
158050344.txt,False,False,False,False,False,True,False
11091678.txt,False,False,False,False,False,True,False
275476310.txt,False,False,False,False,False,True,False
13935928.txt,False,False,False,False,False,True,False
82293018.txt,False,False,False,False,False,False,False
30742450.txt,False,False,False,False,False,True,False
71061968.txt,False,False,False,False,False,True,False
122586179.txt,False,False,False,False,False,False,False
153231469.txt,False,False,False,False,False,True,False
58144803.txt,False,False,False,False,False,False,False
7593534.txt,False,False,False,False,False,True,False
7425563.txt,False,False,False,False,False,False,False
140155376.txt,False,False,False,False,False,True,False
161761214.txt,False,False,False,False,False,True,True
207180.txt,False,False,False,False,False,True,True
126905172.txt,False,False,False,False,False,True,False
8944555.txt,False,False,False,False,False,True,False
41788586.txt,False,False,False,False,False,True,False
67806731.txt,False,False,False,False,False,True,False
7635689.txt,False,False,False,False,False,True,False
57197803.txt,False,False,False,False,False,False,True
84110665.txt,False,False,False,False,False,False,False
275144316.txt,False,False,False,False,False,True,False
84118765.txt,False,False,False,False,False,False,False
128395702.txt,False,False,False,False,False,True,True
14417215.txt,False,False,False,False,False,True,False
68211195.txt,False,False,False,False,False,False,False
75553149.txt,False,False,False,False,False,False,False
86680317.txt,False,False,False,False,False,False,False
151055015.txt,False,False,False,False,False,True,False
11353526.txt,False,False,False,False,False,True,False
84100707.txt,False,False,False,False,False,False,False
7913018.txt,False,False,False,False,False,True,False
128636297.txt,False,False,False,False,False,True,False
150843820.txt,False,False,False,False,False,True,False
124862989.txt,False,False,False,False,False,True,False
275136251.txt,False,False,False,False,False,True,False
39695923.txt,False,False,False,False,False,True,False
170311636.txt,False,False,False,False,False,True,False
171884093.txt,False,False,False,False,False,True,False
159780235.txt,False,False,False,False,False,True,False
174701090.txt,False,False,False,False,False,True,False
77510805.txt,False,False,False,False,False,False,False
126941109.txt,False,False,False,False,False,False,False
14421911.txt,False,False,False,False,False,True,False
160309054.txt,False,False,False,False,False,True,True
159304096.txt,False,False,False,False,False,True,False
171939094.txt,False,False,False,False,False,True,False
158699257.txt,False,False,False,False,False,True,False
268527983.txt,False,False,False,False,False,True,False
46774700.txt,False,False,False,False,False,True,False
131182575.txt,False,False,False,False,False,True,False
154081866.txt,False,False,False,False,False,True,False
275910020.txt,False,False,False,False,False,True,False
124862297.txt,False,False,False,False,False,True,False
151592985.txt,False,False,False,False,False,True,False
139268333.txt,False,False,False,False,False,True,False
158553279.txt,False,False,False,False,False,True,False
85008393.txt,False,False,False,False,False,False,False
7634711.txt,False,False,False,False,False,True,False
39391679.txt,False,False,False,False,False,True,False
41012397.txt,False,False,False,False,False,True,False
98901686.txt,False,False,False,False,False,False,False
86563154.txt,False,False,False,False,False,False,False
82319034.txt,False,False,False,False,False,False,False
172813627.txt,False,False,False,False,False,True,False
86817956.txt,False,False,False,False,False,False,True
145408679.txt,False,False,False,False,False,True,False
174661677.txt,False,False,False,False,False,True,False
142912057.txt,False,False,False,False,False,True,False
11738427.txt,False,False,False,False,False,True,False
80510623.txt,False,False,False,False,False,False,False
68245633.txt,False,False,False,False,False,False,False
148774974.txt,False,False,False,False,False,True,False
149678984.txt,False,False,False,False,False,True,False
34091125.txt,False,False,False,False,False,True,False
155627480.txt,False,False,False,False,False,True,False
130429341.txt,False,False,False,False,False,True,False
46000631.txt,False,False,False,False,False,True,True
77971890.txt,False,False,False,False,False,False,False
159076667.txt,False,False,False,False,False,True,False
128601109.txt,False,False,False,False,False,True,False
61109923.txt,False,False,False,False,False,True,False
7761490.txt,False,False,False,False,False,True,False
120343673.txt,False,False,False,False,False,True,True
68650730.txt,False,False,False,False,False,False,False
86677010.txt,False,False,False,False,False,False,True
122360141.txt,False,False,False,False,False,True,False
40993266.txt,False,False,False,False,False,True,False
129312667.txt,False,False,False,False,False,True,False
154858896.txt,False,False,False,False,False,True,True
157495971.txt,False,False,False,False,False,True,False
160962669.txt,False,False,False,False,False,True,False
159110063.txt,False,False,False,False,False,True,False
82277114.txt,False,False,False,False,False,False,False
86351644.txt,False,False,False,False,False,False,False
