doc_id,path,size_bytes,mtime,sha1
85372142.txt,datos/core/85372142.txt,47459,1752593131,f3dd6d402c1131b9b1707decf0349d0989c3f003
18394413.txt,datos/core/18394413.txt,21794,1752593031,1c988f3543326b6c42e68a0596319faeec6760d2
129073580.txt,datos/core/129073580.txt,36138,1752593044,a951484e172b51c7b881a458bd692147ff140768
11643456.txt,datos/core/11643456.txt,39895,1752593437,2612c23bc2723d8d498ca69bebed6c271411f9cb
84110868.txt,datos/core/84110868.txt,18744,1752593042,c67ae0e09479056809db21b7b2ca2a3600c67ffa
132676874.txt,datos/core/132676874.txt,34860,1752593040,6fc5001ea568b42af1ee92fb8125638a0f049ee3
91261054.txt,datos/core/91261054.txt,33029,1752593027,f02a8ca1585600132fde6ce6e9310729798c9467
153515742.txt,datos/core/153515742.txt,41151,1752593102,78d369312c0cea3d0e5036bc321e4fa17176191a
163106577.txt,datos/core/163106577.txt,62079,1752593322,2a88619f160203501beb71640479f8dec88c80cd
125991783.txt,datos/core/125991783.txt,39895,1752593038,ba8d78c8e0e37eb4cdfcc6ce35507fbd7fcde9ce
14132261.txt,datos/core/14132261.txt,23657,1752593513,4beebcd69adf984578cb3c81721b3c5f062e2ac7
39818723.txt,datos/core/39818723.txt,83745,1752593027,5abdf524ca55c70e8cff8fca1249f4231edbe0ab
46028623.txt,datos/core/46028623.txt,60380,1752593024,11ec262bef2fad6dd0d537590fc16a1b256ddab1
148755250.txt,datos/core/148755250.txt,3656,1752593027,89539bff5b4f908728774bd91526464dfa5dd328
74559372.txt,datos/core/74559372.txt,21129,1752593035,2f3fff87377292d1e8e1529f215bcacb30118311
120351498.txt,datos/core/120351498.txt,106291,1752593036,cf27aa6aeb741a41a7fb7259c005df19e0672576
163002399.txt,datos/core/163002399.txt,53429,1752593109,3d7ce2411cb0169b4ac7f1719988041fc082e34a
145358899.txt,datos/core/145358899.txt,23520,1752593278,dfb906a111d26691a8bb5a68fdb44080e3372890
7597597.txt,datos/core/7597597.txt,26072,1752593027,d0c9faed12abe8cc1da0258faf071c92354368a5
133082162.txt,datos/core/133082162.txt,122075,1752593377,f8c27fa0c31fd8174d66859a2aac5036713761b4
133576174.txt,datos/core/133576174.txt,1354962,1752593112,e99dc9e4f8e4aa87ad958894b2c23998f7cf7742
